Clients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,note/school schedule,Location,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
TyLa,8-2:45pm,8-2:45pm,8:00-2:45pm,8-2:45pm,8-2:45pm,,,,,,,,,,,,,,,,,,,,
TyWa,5pm,5pm,5pm,5pm,5pm,,,,,,,,,,,,,,,,,,,,
VaDa,2-6pm,2-6pm,2-6pm,2-6pm,2-6pm,,,Victorville,,,,,,,,,,,,,,,,,
VaEs,Daycare case,Daycare case ,Daycare Case,Daycare case,Daycare case,,,,,,,,,,,,,,,,,,,,
ViVo,8-2pm,8-2pm,8-2pm,8-2pm,8-2pm,,,,,,,,,,,,,,,,,,,,
XaAl,,,,,,,4 hrs aday as many as possible,apple valley,,,,,,,,,,,,,,,,,
XaAv,,,,,,,,,,,,,,,,,,,,,,,,,
XaVe,3-8pm,3-8pm,3-8pm,3-8pm,3-8pm,,,,,,,,,,,,,,,,,,,,
YaAr,5:30pm-8pm,5:30pm-8pm,5:30pm-8pm,5:30pm-8pm,5:30pm-8pm,n/a,"school(8:50-1pm mon) (8:50-3:30 tue,wed,thur,fri)",,,,,,,,,,,,,,,,,,
YvSo,4-6pm,,4-6pm,4-6pm,,,school(9-3:30pm mon-fri),Hesperia,,,,,,,,,,,,,,,,,
ZaBa,3:30-7pm,3:30-7pm,3:30-7pm,3:30-7pm,,,,,,,,,,,,,,,,,,,,,
ZaDa,2-6pm,2-6pm,2-6pm,2-6pm,2-6pm,,,Victorville,,,,,,,,,,,,,,,,,
ZaRo,4:30pm,4:30,4:30,4:30pm,4:30pm,,school sched(8:30-3:00) ,,,,,,,,,,,,,,,,,,
Zazu,,,,,,,doesn't have a set schedule yet ,apple valley,,,,,,,,,,,,,,,,,
ZeSi,3:15-6:30,,3pm-7pm,3:15-6:30,4:30-6:30,,,,,,,,,,,,,,,,,,,,
ZoAr,,,,,,,,,,,,,,,,,,,,,,,,,
ZoOk,after 4:30,after 4:30,after 4:30,after 4:30,after 4:30,,,apple valley,,,,,,,,,,,,,,,,,
